TYPE,TIMESTAMP_NS,SYMBOL,PRICE,SIZE,BID_PRICE,BID_SIZE,ASK_PRICE,ASK_SIZE
QUOTE,1672583417681559890,SYNTH,,,99.95,9420,99.97,4510
TRADE,1672583418101576154,SYNTH,99.95,118,,,,
TRADE,1672583418392252914,SYNTH,99.95,173,,,,
QUOTE,1672583418594341558,SYNTH,,,99.94,2470,99.96,3790
QUOTE,1672583418749032240,SYNTH,,,99.94,5860,99.96,8540
QUOTE,1672583419191253949,SYNTH,,,99.94,3980,99.96,1900
QUOTE,1672583419308442283,SYNTH,,,99.95,4580,99.97,5080
TRADE,1672583419745789026,SYNTH,99.97,146,,,,
TRADE,1672583419870594722,SYNTH,99.95,103,,,,
QUOTE,1672583419978668782,SYNTH,,,99.96,3400,99.98,8520
TRADE,1672583420062028688,SYNTH,99.96,116,,,,
QUOTE,1672583420540414653,SYNTH,,,99.95,3440,99.97,9300
QUOTE,1672583421039475295,SYNTH,,,99.96,4350,99.98,7230
QUOTE,1672583421103307325,SYNTH,,,99.96,2630,99.98,7300
TRADE,1672583421485176841,SYNTH,99.98,168,,,,
QUOTE,1672583421794398933,SYNTH,,,99.96,8050,99.98,8920
QUOTE,1672583421840962387,SYNTH,,,99.96,8050,99.98,6280
TRADE,1672583421979489656,SYNTH,99.96,58,,,,
TRADE,1672583422313250164,SYNTH,99.98,86,,,,
QUOTE,1672583422348038092,SYNTH,,,99.95,4840,99.97,7850
QUOTE,1672583422755049201,SYNTH,,,99.95,2960,99.97,5790
QUOTE,1672583423022238938,SYNTH,,,99.95,3220,99.97,3250
QUOTE,1672583423032947376,SYNTH,,,99.96,6050,99.98,7460
QUOTE,1672583423437060131,SYNTH,,,99.97,5120,99.99,7990
QUOTE,1672583423881182450,SYNTH,,,99.97,2050,99.99,8810
QUOTE,1672583424017276295,SYNTH,,,99.96,5140,99.98,6900
QUOTE,1672583424223141817,SYNTH,,,99.95,4140,99.97,8940
QUOTE,1672583424664927841,SYNTH,,,99.95,6760,99.97,3320
TRADE,1672583425153342750,SYNTH,99.95,23,,,,
QUOTE,1672583425206564421,SYNTH,,,99.95,3770,99.97,4610
QUOTE,1672583425691680033,SYNTH,,,99.96,3050,99.98,4250
TRADE,1672583426179981362,SYNTH,99.96,42,,,,
TRADE,1672583426560122503,SYNTH,99.98,195,,,,
QUOTE,1672583426897248452,SYNTH,,,99.97,3920,99.99,9480
TRADE,1672583427212968178,SYNTH,99.99,13,,,,
TRADE,1672583427495781123,SYNTH,99.97,181,,,,
TRADE,1672583427585205797,SYNTH,99.97,12,,,,
QUOTE,1672583427853882844,SYNTH,,,99.96,9590,99.98,5840
QUOTE,1672583428229332582,SYNTH,,,99.95,3860,99.97,4310
QUOTE,1672583428316613820,SYNTH,,,99.94,6040,99.96,8490
QUOTE,1672583428534240661,SYNTH,,,99.94,9250,99.96,2650
QUOTE,1672583428545685292,SYNTH,,,99.93,9010,99.95,7310
TRADE,1672583428948130740,SYNTH,99.95,111,,,,
QUOTE,1672583428994242511,SYNTH,,,99.93,6820,99.95,5940
TRADE,1672583429243281029,SYNTH,99.95,21,,,,
QUOTE,1672583429564584955,SYNTH,,,99.94,1500,99.96,9260
TRADE,1672583429619482299,SYNTH,99.94,41,,,,
QUOTE,1672583430109012123,SYNTH,,,99.95,5140,99.97,7060
QUOTE,1672583430522225101,SYNTH,,,99.95,7550,99.97,8010
QUOTE,1672583430660605698,SYNTH,,,99.95,3760,99.97,3620
QUOTE,1672583430990775216,SYNTH,,,99.94,6170,99.96,3510
TRADE,1672583431177114260,SYNTH,99.94,111,,,,
QUOTE,1672583431388306825,SYNTH,,,99.94,4190,99.96,1450
QUOTE,1672583431706186486,SYNTH,,,99.95,1550,99.97,2480
QUOTE,1672583432168848596,SYNTH,,,99.95,7210,99.97,5250
QUOTE,1672583432365030693,SYNTH,,,99.96,5650,99.98,5010
QUOTE,1672583432693813501,SYNTH,,,99.96,2720,99.98,5130
QUOTE,1672583433031891191,SYNTH,,,99.96,6180,99.98,3250
QUOTE,1672583433445516056,SYNTH,,,99.96,5430,99.98,9400
TRADE,1672583433756964706,SYNTH,99.96,86,,,,
QUOTE,1672583434220628053,SYNTH,,,99.95,2800,99.97,8710
TRADE,1672583434250725905,SYNTH,99.95,108,,,,
TRADE,1672583434603503388,SYNTH,99.95,14,,,,
QUOTE,1672583434972063480,SYNTH,,,99.94,8270,99.96,4090
TRADE,1672583435275807066,SYNTH,99.96,14,,,,
QUOTE,1672583435712403417,SYNTH,,,99.93,2580,99.95,1130
QUOTE,1672583435809754444,SYNTH,,,99.92,1730,99.94,8720
QUOTE,1672583435881288237,SYNTH,,,99.93,2120,99.95,6040
TRADE,1672583435944838373,SYNTH,99.95,48,,,,
TRADE,1672583436411059293,SYNTH,99.95,76,,,,
QUOTE,1672583436710570269,SYNTH,,,99.96,5370,99.98,8160
TRADE,1672583437069794683,SYNTH,99.98,178,,,,
QUOTE,1672583437102396245,SYNTH,,,99.95,6210,99.97,4590
QUOTE,1672583437490657736,SYNTH,,,99.96,3180,99.98,7590
QUOTE,1672583437980010893,SYNTH,,,99.97,7630,99.99,6460
TRADE,1672583438077691311,SYNTH,99.99,15,,,,
TRADE,1672583438257254373,SYNTH,99.99,83,,,,
QUOTE,1672583438277403375,SYNTH,,,99.96,2280,99.98,9580
QUOTE,1672583438696012742,SYNTH,,,99.95,5510,99.97,5470
QUOTE,1672583439010369633,SYNTH,,,99.95,5580,99.97,2410
QUOTE,1672583439190634429,SYNTH,,,99.96,6140,99.98,9650
TRADE,1672583439550277168,SYNTH,99.98,41,,,,
QUOTE,1672583439741434863,SYNTH,,,99.96,3020,99.98,7000
QUOTE,1672583440185135479,SYNTH,,,99.96,9970,99.98,3010
TRADE,1672583440655717966,SYNTH,99.98,198,,,,
TRADE,1672583440887223247,SYNTH,99.96,178,,,,
QUOTE,1672583441029970983,SYNTH,,,99.97,7780,99.99,5590
TRADE,1672583441488300724,SYNTH,99.97,40,,,,
QUOTE,1672583441695520468,SYNTH,,,99.96,5410,99.98,7760
TRADE,1672583441856294710,SYNTH,99.98,189,,,,
TRADE,1672583442326701652,SYNTH,99.98,12,,,,
QUOTE,1672583442478828809,SYNTH,,,99.96,8510,99.98,1890
QUOTE,1672583442760725799,SYNTH,,,99.96,7360,99.98,1400
QUOTE,1672583443070102952,SYNTH,,,99.97,2100,99.99,5010
QUOTE,1672583443416205248,SYNTH,,,99.96,9500,99.98,3960
QUOTE,1672583443633276785,SYNTH,,,99.97,3450,99.99,5080
TRADE,1672583444058180474,SYNTH,99.97,165,,,,
QUOTE,1672583444327972423,SYNTH,,,99.98,3160,100.0,9970
QUOTE,1672583444797652580,SYNTH,,,99.98,6680,100.0,3980
QUOTE,1672583444977292833,SYNTH,,,99.97,9260,99.99,8100
QUOTE,1672583445379334572,SYNTH,,,99.97,6450,99.99,8810
QUOTE,1672583445860895318,SYNTH,,,99.97,2390,99.99,5060
QUOTE,1672583446002922950,SYNTH,,,99.96,5070,99.98,8320
QUOTE,1672583446091555132,SYNTH,,,99.96,7590,99.98,7390
TRADE,1672583446153985772,SYNTH,99.98,158,,,,
QUOTE,1672583446375563778,SYNTH,,,99.97,1450,99.99,2050
TRADE,1672583446511708205,SYNTH,99.97,54,,,,
QUOTE,1672583446676051330,SYNTH,,,99.97,6080,99.99,6170
TRADE,1672583446808464465,SYNTH,99.99,69,,,,
TRADE,1672583447300448795,SYNTH,99.99,21,,,,
QUOTE,1672583447759357771,SYNTH,,,99.96,5370,99.98,7340
QUOTE,1672583448072629199,SYNTH,,,99.96,3410,99.98,7210
TRADE,1672583448510105055,SYNTH,99.96,57,,,,
TRADE,1672583448627581465,SYNTH,99.96,141,,,,
QUOTE,1672583448668762973,SYNTH,,,99.95,6380,99.97,8860
QUOTE,1672583449084287125,SYNTH,,,99.95,1880,99.97,6020
TRADE,1672583449347282701,SYNTH,99.95,124,,,,
QUOTE,1672583449768194415,SYNTH,,,99.94,7910,99.96,2700
TRADE,1672583450120191500,SYNTH,99.94,95,,,,
TRADE,1672583450356592968,SYNTH,99.96,141,,,,
QUOTE,1672583450832239752,SYNTH,,,99.92,9010,99.94,1180
QUOTE,1672583451291256366,SYNTH,,,99.91,8770,99.93,3620
TRADE,1672583451492643890,SYNTH,99.91,73,,,,
TRADE,1672583451733907750,SYNTH,99.91,145,,,,
QUOTE,1672583452158575065,SYNTH,,,99.89,6610,99.91,9050
QUOTE,1672583452219129681,SYNTH,,,99.89,4500,99.91,7390
QUOTE,1672583452615311947,SYNTH,,,99.88,8050,99.9,9660
TRADE,1672583452919440877,SYNTH,99.9,146,,,,
QUOTE,1672583452964412403,SYNTH,,,99.87,6040,99.89,5760
TRADE,1672583453452140780,SYNTH,99.87,76,,,,
QUOTE,1672583453867177806,SYNTH,,,99.86,1010,99.88,9380
TRADE,1672583453996524020,SYNTH,99.88,168,,,,
QUOTE,1672583454225775905,SYNTH,,,99.86,6070,99.88,8630
QUOTE,1672583454690505131,SYNTH,,,99.85,3310,99.87,9440
QUOTE,1672583455037977983,SYNTH,,,99.85,1120,99.87,8590
QUOTE,1672583455384278492,SYNTH,,,99.85,6580,99.87,1610
QUOTE,1672583455433337794,SYNTH,,,99.84,7760,99.86,9210
QUOTE,1672583455594711776,SYNTH,,,99.84,4460,99.86,6260
QUOTE,1672583455847218326,SYNTH,,,99.83,6970,99.85,6620
QUOTE,1672583456052180531,SYNTH,,,99.83,9310,99.85,3870
QUOTE,1672583456247699546,SYNTH,,,99.83,2560,99.85,4350
QUOTE,1672583456424149520,SYNTH,,,99.83,8030,99.85,9250
QUOTE,1672583456675584515,SYNTH,,,99.82,1050,99.84,1030
QUOTE,1672583456839632178,SYNTH,,,99.83,9630,99.85,1570
QUOTE,1672583457118249119,SYNTH,,,99.83,3300,99.85,7890
TRADE,1672583457551352195,SYNTH,99.85,122,,,,
QUOTE,1672583457838362015,SYNTH,,,99.84,6170,99.86,8760
QUOTE,1672583458074501703,SYNTH,,,99.84,4570,99.86,6950
QUOTE,1672583458510955475,SYNTH,,,99.83,8270,99.85,4580
QUOTE,1672583458528737135,SYNTH,,,99.84,5810,99.86,5450
QUOTE,1672583458948867842,SYNTH,,,99.83,7410,99.85,4170
TRADE,1672583458981950276,SYNTH,99.83,144,,,,
QUOTE,1672583459434032780,SYNTH,,,99.84,8390,99.86,6700
QUOTE,1672583459709002579,SYNTH,,,99.84,4490,99.86,4680
QUOTE,1672583459962980467,SYNTH,,,99.84,4880,99.86,6600
TRADE,1672583460396687898,SYNTH,99.84,36,,,,
QUOTE,1672583460713546842,SYNTH,,,99.83,9430,99.85,6740
TRADE,1672583461195582724,SYNTH,99.83,156,,,,
TRADE,1672583461333954709,SYNTH,99.83,97,,,,
QUOTE,1672583461593804161,SYNTH,,,99.84,6510,99.86,7730
QUOTE,1672583461748714932,SYNTH,,,99.84,5620,99.86,8480
QUOTE,1672583461922012838,SYNTH,,,99.84,2830,99.86,3500
QUOTE,1672583462173442041,SYNTH,,,99.83,2750,99.85,2740
TRADE,1672583462558404213,SYNTH,99.85,185,,,,
QUOTE,1672583462847520342,SYNTH,,,99.84,5070,99.86,7060
TRADE,1672583463150415294,SYNTH,99.84,180,,,,
TRADE,1672583463323254571,SYNTH,99.86,177,,,,
TRADE,1672583463480755584,SYNTH,99.86,88,,,,
QUOTE,1672583463628991784,SYNTH,,,99.84,1120,99.86,6530
TRADE,1672583464040886532,SYNTH,99.86,148,,,,
QUOTE,1672583464143028196,SYNTH,,,99.84,8850,99.86,6540
QUOTE,1672583464627346625,SYNTH,,,99.84,3340,99.86,6930
QUOTE,1672583464863526489,SYNTH,,,99.85,7910,99.87,7780
QUOTE,1672583464879526659,SYNTH,,,99.85,8440,99.87,1190
QUOTE,1672583465146730828,SYNTH,,,99.86,8770,99.88,7560
QUOTE,1672583465310683543,SYNTH,,,99.86,5160,99.88,7360
QUOTE,1672583465666064983,SYNTH,,,99.87,6610,99.89,5620
QUOTE,1672583466041530596,SYNTH,,,99.88,8220,99.9,6150
TRADE,1672583466307248743,SYNTH,99.9,99,,,,
QUOTE,1672583466552889578,SYNTH,,,99.89,3790,99.91,4270
QUOTE,1672583466961627574,SYNTH,,,99.9,6500,99.92,5960
QUOTE,1672583467197984908,SYNTH,,,99.9,4450,99.92,2430
TRADE,1672583467406448183,SYNTH,99.9,189,,,,
QUOTE,1672583467841334560,SYNTH,,,99.91,7820,99.93,1100
QUOTE,1672583468241708558,SYNTH,,,99.91,9330,99.93,4580
TRADE,1672583468328202823,SYNTH,99.91,113,,,,
QUOTE,1672583468493476302,SYNTH,,,99.92,8280,99.94,8920
QUOTE,1672583468918902052,SYNTH,,,99.92,4950,99.94,2080
QUOTE,1672583469251844746,SYNTH,,,99.92,4220,99.94,6300
QUOTE,1672583469401506453,SYNTH,,,99.91,8140,99.93,1130
QUOTE,1672583469567802617,SYNTH,,,99.92,8810,99.94,2670
TRADE,1672583469780909934,SYNTH,99.92,114,,,,
QUOTE,1672583469908512425,SYNTH,,,99.93,3860,99.95,9700
TRADE,1672583470132567983,SYNTH,99.93,179,,,,
TRADE,1672583470223390088,SYNTH,99.93,148,,,,
TRADE,1672583470563776633,SYNTH,99.93,75,,,,
QUOTE,1672583470831669824,SYNTH,,,99.92,1900,99.94,6200
QUOTE,1672583470876961435,SYNTH,,,99.92,6650,99.94,4700
QUOTE,1672583471289061239,SYNTH,,,99.93,3440,99.95,9250
QUOTE,1672583471586007400,SYNTH,,,99.93,8120,99.95,3560
QUOTE,1672583471648134852,SYNTH,,,99.93,5260,99.95,7570
QUOTE,1672583471817774615,SYNTH,,,99.92,5950,99.94,1120
QUOTE,1672583472118310027,SYNTH,,,99.92,1120,99.94,1120
QUOTE,1672583472606882497,SYNTH,,,99.91,9560,99.93,4940
TRADE,1672583472991217179,SYNTH,99.93,107,,,,
QUOTE,1672583473377894681,SYNTH,,,99.92,6550,99.94,3230
TRADE,1672583473412198702,SYNTH,99.94,108,,,,
QUOTE,1672583473848231913,SYNTH,,,99.92,9220,99.94,6400
TRADE,1672583473937910517,SYNTH,99.94,65,,,,
QUOTE,1672583474285101600,SYNTH,,,99.93,8690,99.95,5280
QUOTE,1672583474747731243,SYNTH,,,99.93,8090,99.95,9140
QUOTE,1672583474907314598,SYNTH,,,99.93,4920,99.95,1900
QUOTE,1672583475145288276,SYNTH,,,99.94,6740,99.96,1490
TRADE,1672583475523824198,SYNTH,99.96,91,,,,
QUOTE,1672583475848824647,SYNTH,,,99.95,8310,99.97,4450
QUOTE,1672583476274570181,SYNTH,,,99.94,4280,99.96,1720
TRADE,1672583476324382927,SYNTH,99.96,107,,,,
QUOTE,1672583476603611081,SYNTH,,,99.95,4240,99.97,8880
TRADE,1672583476975191085,SYNTH,99.97,60,,,,
QUOTE,1672583477467786150,SYNTH,,,99.94,8280,99.96,4870
QUOTE,1672583477860552472,SYNTH,,,99.94,3930,99.96,6250
QUOTE,1672583478111284164,SYNTH,,,99.95,6860,99.97,5000
TRADE,1672583478393367319,SYNTH,99.97,64,,,,
QUOTE,1672583478813519484,SYNTH,,,99.96,6020,99.98,3910
QUOTE,1672583478864180802,SYNTH,,,99.96,4170,99.98,8470
QUOTE,1672583479302438284,SYNTH,,,99.97,4090,99.99,1960
TRADE,1672583479357694129,SYNTH,99.97,35,,,,
QUOTE,1672583479561250214,SYNTH,,,99.97,4860,99.99,8860
QUOTE,1672583479646975014,SYNTH,,,99.97,5880,99.99,2060
QUOTE,1672583480089067357,SYNTH,,,99.97,4210,99.99,4440
QUOTE,1672583480313255934,SYNTH,,,99.98,5230,100.0,5980
QUOTE,1672583480619517136,SYNTH,,,99.98,1820,100.0,3960
QUOTE,1672583481066800530,SYNTH,,,99.98,7910,100.0,9190
QUOTE,1672583481463858138,SYNTH,,,99.99,9310,100.01,8300
TRADE,1672583481815662994,SYNTH,100.01,172,,,,
QUOTE,1672583481856111669,SYNTH,,,99.99,5960,100.01,9270
QUOTE,1672583481953768848,SYNTH,,,100.0,6630,100.02,6350
TRADE,1672583482088358637,SYNTH,100.0,48,,,,
QUOTE,1672583482253938039,SYNTH,,,100.0,2190,100.02,4780
QUOTE,1672583482648812746,SYNTH,,,100.0,9910,100.02,5350
QUOTE,1672583482844174286,SYNTH,,,100.0,2090,100.02,8410
QUOTE,1672583482969597687,SYNTH,,,100.01,4600,100.03,2380
QUOTE,1672583483190033152,SYNTH,,,100.01,3160,100.03,7420
QUOTE,1672583483390114431,SYNTH,,,100.0,3240,100.02,3290
QUOTE,1672583483469305839,SYNTH,,,100.01,3770,100.03,8140
TRADE,1672583483964601703,SYNTH,100.01,109,,,,
QUOTE,1672583484393392282,SYNTH,,,100.01,2070,100.03,3590
QUOTE,1672583484777172679,SYNTH,,,100.01,5040,100.03,2030
QUOTE,1672583484927875643,SYNTH,,,100.0,7690,100.02,7070
TRADE,1672583485150076685,SYNTH,100.02,81,,,,
TRADE,1672583485589091396,SYNTH,100.0,72,,,,
TRADE,1672583485932561929,SYNTH,100.0,96,,,,
QUOTE,1672583486270264130,SYNTH,,,100.0,7700,100.02,2660
QUOTE,1672583486382759507,SYNTH,,,99.99,3110,100.01,3630
QUOTE,1672583486828422431,SYNTH,,,99.98,3760,100.0,2280
QUOTE,1672583487140961236,SYNTH,,,99.98,8100,100.0,4830
QUOTE,1672583487167055508,SYNTH,,,99.98,1470,100.0,8860
TRADE,1672583487639438462,SYNTH,99.98,191,,,,
QUOTE,1672583487679193090,SYNTH,,,99.98,4040,100.0,3300
TRADE,1672583487783066319,SYNTH,100.0,40,,,,
QUOTE,1672583487933327474,SYNTH,,,99.98,5150,100.0,2800
TRADE,1672583487970850196,SYNTH,99.98,136,,,,
QUOTE,1672583488198120979,SYNTH,,,99.97,5670,99.99,5070
QUOTE,1672583488421865585,SYNTH,,,99.97,4440,99.99,3030
QUOTE,1672583488437154124,SYNTH,,,99.97,7810,99.99,9370
QUOTE,1672583488847123589,SYNTH,,,99.97,3420,99.99,4250
QUOTE,1672583489222206949,SYNTH,,,99.97,1550,99.99,8840
QUOTE,1672583489585835192,SYNTH,,,99.97,1090,99.99,4130
QUOTE,1672583489725989921,SYNTH,,,99.96,6720,99.98,6720
QUOTE,1672583489875082365,SYNTH,,,99.95,6650,99.97,3290
TRADE,1672583490225265160,SYNTH,99.97,143,,,,
TRADE,1672583490645667871,SYNTH,99.97,158,,,,
QUOTE,1672583490822145368,SYNTH,,,99.93,8830,99.95,4490
TRADE,1672583491304834865,SYNTH,99.93,135,,,,
QUOTE,1672583491693909632,SYNTH,,,99.93,6860,99.95,7410
TRADE,1672583492059933955,SYNTH,99.93,55,,,,
QUOTE,1672583492224828049,SYNTH,,,99.94,2450,99.96,2620
QUOTE,1672583492719228697,SYNTH,,,99.94,5650,99.96,8690
QUOTE,1672583492831889930,SYNTH,,,99.94,3540,99.96,6670
QUOTE,1672583493290255742,SYNTH,,,99.95,9100,99.97,9020
TRADE,1672583493408189242,SYNTH,99.95,197,,,,
QUOTE,1672583493637237335,SYNTH,,,99.94,9280,99.96,2300
QUOTE,1672583493765759366,SYNTH,,,99.93,1310,99.95,3040
TRADE,1672583494022190053,SYNTH,99.95,25,,,,
QUOTE,1672583494225876777,SYNTH,,,99.92,5650,99.94,5960
QUOTE,1672583494462134936,SYNTH,,,99.93,8660,99.95,3960
QUOTE,1672583494717630309,SYNTH,,,99.93,5550,99.95,9910
QUOTE,1672583494903220166,SYNTH,,,99.93,9830,99.95,3890
TRADE,1672583495242561346,SYNTH,99.93,175,,,,
QUOTE,1672583495526268818,SYNTH,,,99.94,7370,99.96,4370
QUOTE,1672583495877787091,SYNTH,,,99.94,8130,99.96,3600
TRADE,1672583496230844491,SYNTH,99.94,43,,,,
QUOTE,1672583496653658281,SYNTH,,,99.93,8040,99.95,3610
QUOTE,1672583497077429114,SYNTH,,,99.94,7450,99.96,9100
QUOTE,1672583497195516085,SYNTH,,,99.93,6810,99.95,3610
TRADE,1672583497306561959,SYNTH,99.93,65,,,,
QUOTE,1672583497436227752,SYNTH,,,99.93,6360,99.95,8780
QUOTE,1672583497459730445,SYNTH,,,99.93,9940,99.95,8360
QUOTE,1672583497932389670,SYNTH,,,99.92,5610,99.94,6260
TRADE,1672583498424681271,SYNTH,99.94,188,,,,
QUOTE,1672583498664730196,SYNTH,,,99.93,2960,99.95,4870
TRADE,1672583498709158174,SYNTH,99.95,18,,,,
QUOTE,1672583498950700500,SYNTH,,,99.94,9690,99.96,2490
QUOTE,1672583499107169492,SYNTH,,,99.95,7280,99.97,4350
QUOTE,1672583499314204394,SYNTH,,,99.94,6340,99.96,1650
QUOTE,1672583499330820490,SYNTH,,,99.94,7400,99.96,1940
TRADE,1672583499528536186,SYNTH,99.96,67,,,,
QUOTE,1672583499593758300,SYNTH,,,99.94,3760,99.96,2850
QUOTE,1672583499900352603,SYNTH,,,99.93,3150,99.95,5050
QUOTE,1672583499924871873,SYNTH,,,99.93,6180,99.95,1450
QUOTE,1672583500308944572,SYNTH,,,99.93,1320,99.95,3310
QUOTE,1672583500608504985,SYNTH,,,99.93,3240,99.95,8150
TRADE,1672583500942302233,SYNTH,99.93,51,,,,
TRADE,1672583501358367291,SYNTH,99.93,184,,,,
TRADE,1672583501497100944,SYNTH,99.95,48,,,,
QUOTE,1672583501879205874,SYNTH,,,99.93,7030,99.95,7630
QUOTE,1672583502020951089,SYNTH,,,99.94,7130,99.96,2640
QUOTE,1672583502176029429,SYNTH,,,99.95,2510,99.97,5920
TRADE,1672583502323469785,SYNTH,99.97,58,,,,
QUOTE,1672583502382573427,SYNTH,,,99.93,6320,99.95,3380
QUOTE,1672583502818358355,SYNTH,,,99.93,8020,99.95,3130
TRADE,1672583503221262004,SYNTH,99.95,144,,,,
QUOTE,1672583503307750330,SYNTH,,,99.95,7650,99.97,6490
QUOTE,1672583503805067626,SYNTH,,,99.95,5140,99.97,6230
TRADE,1672583503925365010,SYNTH,99.95,173,,,,
QUOTE,1672583504011790618,SYNTH,,,99.94,7880,99.96,7910
TRADE,1672583504343301542,SYNTH,99.96,133,,,,
QUOTE,1672583504484188067,SYNTH,,,99.95,9840,99.97,6820
QUOTE,1672583504757085240,SYNTH,,,99.94,2400,99.96,6670
QUOTE,1672583505227493323,SYNTH,,,99.94,2930,99.96,6350
QUOTE,1672583505680774616,SYNTH,,,99.93,1220,99.95,4020
QUOTE,1672583505974113588,SYNTH,,,99.92,3900,99.94,2970
QUOTE,1672583506332491730,SYNTH,,,99.93,8830,99.95,7950
TRADE,1672583506649194572,SYNTH,99.95,173,,,,
QUOTE,1672583506900946140,SYNTH,,,99.93,8530,99.95,8910
QUOTE,1672583507089032263,SYNTH,,,99.94,4150,99.96,7540
QUOTE,1672583507478935928,SYNTH,,,99.95,5190,99.97,6990
QUOTE,1672583507790120035,SYNTH,,,99.95,5720,99.97,6640
QUOTE,1672583507929478557,SYNTH,,,99.96,4890,99.98,5720
TRADE,1672583508399207566,SYNTH,99.98,95,,,,
